id_aluno;necessidade_especial;id_escola_alocada;id_sala_alocada;etapa_desejada;etapa_sala;horario_desejado;horario_sala
339493;0;141;2030;8;8;0;0
339495;0;5;84;9;9;1;1
339498;0;86;1368;6;6;0;0
339501;0;44;744;6;6;1;1
339502;0;87;1390;6;6;1;1
339508;0;145;2094;9;9;0;0
339525;0;85;1362;6;6;0;0
339530;0;26;344;6;6;0;0
339532;0;47;797;8;8;0;0
339535;0;88;1401;9;9;0;0
339541;1;43;714;8;8;0;0
339547;0;87;1391;7;7;0;0
339561;0;91;1475;7;7;1;1
339571;0;119;1807;8;8;1;1
339572;0;66;1031;10;10;0;0
339577;0;82;1296;9;9;0;0
339580;0;84;1332;7;7;1;1
339586;0;149;2166;9;9;1;1
339589;0;93;1505;5;5;0;0
339590;0;110;1700;6;6;1;1
339595;0;73;1198;6;6;0;0
339600;0;86;1368;6;6;0;0
339603;0;44;744;6;6;1;1
339609;0;95;1546;5;5;1;1
339610;0;119;1811;6;6;0;0
339625;0;86;1364;7;7;1;1
339626;0;45;757;6;6;0;0
339628;1;149;2157;6;6;1;1
339632;0;35;561;6;6;1;1
339639;0;29;398;6;6;1;1
339649;0;47;792;6;6;0;0
339662;0;103;1617;6;6;0;0
339667;0;103;1617;6;6;0;0
339669;0;84;1336;7;7;1;1
339671;0;87;1391;7;7;0;0
339680;0;41;676;6;6;1;1
339682;0;107;1671;7;7;1;1
339685;0;140;2019;8;8;1;1
339686;0;87;1394;9;9;1;1
339689;0;69;1093;6;6;1;1
339707;0;87;1387;6;6;0;0
339709;1;96;1573;6;6;1;1
339711;0;30;421;5;5;1;1
339716;0;40;669;6;6;1;1
339719;0;143;2074;7;7;0;0
339720;0;38;620;9;9;0;0
339722;0;83;1313;10;10;0;0
339726;0;96;1573;6;6;1;1
339729;0;2;28;6;6;1;1
339732;0;133;1949;6;6;1;1
339734;0;44;744;6;6;1;1
339735;1;145;2096;6;6;0;0
339736;0;149;2157;6;6;1;1
339737;0;65;1005;7;7;1;1
339738;0;112;1726;6;6;0;0
339739;0;36;582;8;8;1;1
339747;0;143;2082;9;9;1;1
339754;0;36;571;6;6;1;1
339756;1;2;27;6;6;1;1
339763;0;85;1350;9;9;0;0
339764;0;117;1787;6;6;1;1
339767;0;35;564;6;6;0;0
339783;0;36;578;7;7;0;0
339787;0;86;1365;6;6;1;1
339791;0;89;1445;7;7;1;1
339795;0;76;1231;6;6;1;1
339799;0;65;1007;7;7;0;0
339800;0;41;677;9;9;1;1
339802;0;150;2174;6;6;1;1
339803;0;41;701;9;9;1;1
339804;0;35;560;7;7;1;1
339807;0;88;1420;6;6;0;0
339809;0;34;541;5;5;0;0
339817;0;76;1248;9;9;0;0
339820;0;28;361;9;9;1;1
339825;0;91;1477;9;9;1;1
339828;0;34;559;6;6;1;1
339832;0;86;1370;8;8;1;1
339861;0;103;1624;7;7;0;0
339874;0;86;1364;7;7;1;1
339882;0;35;561;6;6;1;1
339887;0;117;1785;9;9;0;0
339891;0;105;1646;8;8;1;1
339907;0;105;1645;9;9;1;1
339909;0;95;1547;7;7;0;0
339910;0;5;83;7;7;0;0
339912;0;84;1329;5;5;0;0
339913;0;107;1673;6;6;1;1
339914;0;105;1644;7;7;1;1
339915;0;134;1957;9;9;1;1
339916;1;141;2037;5;5;1;1
339925;0;82;1308;7;7;0;0
339927;0;63;981;6;6;0;0
339929;0;148;2132;7;7;0;0
339931;0;34;549;6;6;1;1
339932;0;88;1406;7;7;0;0
339936;0;96;1570;7;7;0;0
339937;0;45;757;6;6;0;0
339939;0;134;1962;6;6;0;0
339949;0;105;1647;6;6;0;0
339951;0;74;1203;6;6;0;0
339954;0;87;1392;5;5;1;1
339957;0;97;1582;6;6;0;0
339962;0;29;387;12;12;0;0
339964;0;48;828;6;6;0;0
339967;0;30;414;6;6;0;0
339969;0;146;2123;8;8;1;1
340007;0;133;1950;6;6;0;0
340020;0;97;1584;9;9;1;1
340022;0;72;1168;8;8;0;0
340037;0;70;1123;7;7;0;0
340038;0;110;1705;7;7;1;1
340045;0;47;788;6;6;0;0
340047;0;43;727;5;5;0;0
340048;0;104;1633;5;5;1;1
340060;0;43;732;5;5;1;1
340062;0;32;452;6;6;1;1
340070;0;135;1965;7;7;1;1
340075;0;105;1650;8;8;1;1
340078;0;33;529;6;6;0;0
340081;0;83;1317;5;5;1;1
340082;0;83;1326;6;6;1;1
340084;0;68;1074;8;8;1;1
340091;0;33;511;10;10;1;1
340093;0;28;358;6;6;1;1
340097;0;96;1568;5;5;1;1
340098;0;65;1006;8;8;1;1
340121;0;46;776;8;8;0;0
340126;0;107;1666;5;5;1;1
340128;0;135;1964;6;6;1;1
340132;0;138;1997;10;10;1;1
340140;0;143;2075;9;9;0;0
340141;1;38;609;6;6;1;1
340145;0;150;2169;8;8;0;0
340150;0;110;1703;9;9;0;0
340154;0;93;1516;9;9;1;1
340159;0;119;1804;9;9;1;1
340176;0;133;1934;6;6;1;1
340183;0;149;2157;6;6;1;1
340184;0;86;1383;7;7;1;1
340186;0;149;2157;6;6;1;1
340207;0;29;398;6;6;1;1
340209;0;88;1409;6;6;0;0
340214;0;83;1313;10;10;0;0
340219;0;140;2024;7;7;0;0
340227;0;45;757;6;6;0;0
340235;0;150;2173;6;6;0;0
340237;0;150;2170;9;9;0;0
340239;0;133;1932;9;9;0;0
340240;0;88;1431;7;7;0;0
340242;0;119;1803;6;6;0;0
340250;0;108;1674;6;6;1;1
340276;0;103;1617;6;6;0;0
340304;0;134;1956;7;7;1;1
340314;0;119;1811;6;6;0;0
340333;0;28;360;6;6;0;0
340334;0;88;1406;7;7;0;0
340340;0;150;2175;7;7;1;1
340346;0;43;726;6;6;0;0
340349;0;71;1142;9;9;0;0
340352;0;43;712;6;6;0;0
340353;0;76;1233;6;6;0;0
340355;0;72;1183;9;9;0;0
340359;0;76;1227;5;5;0;0
340360;0;25;328;9;9;0;0
340373;0;71;1141;9;9;0;0
340377;0;28;372;9;9;0;0
340379;0;22;289;6;6;0;0
340380;0;105;1652;5;5;0;0
340387;0;22;295;7;7;0;0
340390;0;34;541;5;5;0;0
340393;1;36;574;7;7;0;0
340401;0;36;581;6;6;0;0
340404;0;48;815;6;6;0;0
340405;0;33;499;5;5;0;0
340409;0;33;490;6;6;0;0
340411;0;43;714;8;8;0;0
340413;0;103;1623;6;6;0;0
340420;0;41;670;5;5;1;1
340427;1;36;587;8;8;1;1
340432;0;134;1958;9;9;1;1
340447;0;76;1232;9;9;0;0
340461;0;32;466;9;9;0;0
340467;0;146;2106;6;6;0;0
340476;0;97;1582;6;6;0;0
340503;0;76;1244;5;5;1;1
340509;0;36;572;6;6;0;0
340518;0;37;598;5;5;0;0
340525;0;76;1237;5;5;1;1
340529;0;142;2071;9;9;0;0
340531;1;136;1977;6;6;1;1
340542;0;145;2102;9;9;1;1
340544;0;135;1969;5;5;1;1
340553;0;74;1212;6;6;1;1
340558;0;44;745;5;5;0;0
340565;0;47;797;8;8;0;0
340586;0;94;1540;9;9;0;0
340590;0;66;1046;9;9;1;1
340592;0;43;715;9;9;1;1
340593;1;137;1985;10;10;1;1
340599;0;95;1553;9;9;1;1
340601;0;146;2117;6;6;1;1
340603;0;117;1786;5;5;0;0
340606;0;88;1409;6;6;0;0
340610;0;150;2175;7;7;1;1
340611;0;139;2009;9;9;0;0
340617;0;92;1497;6;6;1;1
340618;0;66;1037;6;6;1;1
340623;0;76;1226;8;8;0;0
340648;0;43;740;6;6;1;1
340657;0;71;1166;7;7;1;1
340668;0;39;638;6;6;1;1
340693;1;93;1505;5;5;0;0
340698;0;63;978;6;6;1;1
340702;0;44;744;6;6;1;1
340704;1;141;2047;5;5;0;0
340714;0;29;376;12;12;0;0
340715;0;66;1033;6;6;1;1
340733;0;86;1380;7;7;0;0
340743;0;96;1559;8;8;0;0
340744;0;119;1813;5;5;0;0
340755;0;72;1169;6;6;1;1
340757;0;29;401;7;7;1;1
340764;0;85;1353;6;6;1;1
340766;0;44;744;6;6;1;1
340771;0;141;2043;6;6;1;1
340773;0;149;2154;6;6;0;0
340775;0;71;1150;7;7;1;1
340780;0;38;611;6;6;0;0
340782;0;92;1496;7;7;1;1
340793;0;85;1361;6;6;0;0
340797;0;112;1726;6;6;0;0
340802;0;27;350;7;7;0;0
340807;0;38;632;6;6;0;0
340809;0;92;1504;8;8;1;1
340810;0;119;1814;6;6;0;0
340816;0;85;1353;6;6;1;1
340818;1;108;1674;6;6;1;1
340829;0;47;787;5;5;1;1
340835;0;27;345;6;6;0;0
340837;0;82;1294;9;9;0;0
340840;0;92;1494;5;5;0;0
340868;0;42;2185;8;8;1;1
340869;0;45;755;8;8;1;1
340890;0;83;1316;7;7;1;1
340914;0;30;415;6;6;1;1
340916;0;70;1109;6;6;0;0
340918;0;38;611;6;6;0;0
340925;0;85;1351;8;8;0;0
340926;0;69;1096;6;6;1;1
340927;0;6;99;6;6;0;0
340928;0;43;712;6;6;0;0
340930;0;33;517;5;5;1;1
340938;0;69;1104;7;7;0;0
340948;0;33;509;7;7;0;0
340949;1;67;1054;6;6;1;1
340952;0;32;474;5;5;0;0
340954;0;67;1054;6;6;1;1
340957;0;109;1685;6;6;1;1
340968;0;72;1176;6;6;1;1
340981;0;29;393;5;5;1;1
340990;0;119;1808;9;9;1;1
340994;0;108;1676;6;6;0;0
340998;0;141;2036;5;5;0;0
341001;0;5;79;5;5;0;0
341005;1;82;1295;6;6;1;1
341011;0;133;1943;7;7;1;1
341012;0;95;1548;6;6;1;1
341015;0;108;1676;6;6;0;0
341018;0;39;637;7;7;0;0
341021;0;23;308;7;7;1;1
341024;0;2;27;6;6;1;1
341033;0;140;2018;5;5;0;0
341055;1;117;1781;7;7;0;0
341081;0;65;1013;9;9;0;0
341082;0;34;543;9;9;1;1
341087;0;96;1572;9;9;0;0
341096;0;150;2168;6;6;1;1
341112;0;29;394;9;9;1;1
341117;0;146;2115;6;6;0;0
341119;0;43;727;5;5;0;0
341120;1;63;986;6;6;0;0
341121;0;92;1492;9;9;1;1
341130;0;107;1672;9;9;0;0
341143;0;33;493;9;9;1;1
341149;0;71;1152;8;8;1;1
341155;0;31;440;10;10;0;0
341158;0;87;1392;5;5;1;1
341162;0;40;653;7;7;1;1
341174;0;2;31;9;9;0;0
341183;0;73;1187;6;6;0;0
341186;0;27;348;6;6;1;1
341188;0;136;1980;6;6;0;0
341193;0;95;1543;6;6;1;1
341195;0;133;1949;6;6;1;1
341196;0;95;1556;6;6;0;0
341198;0;74;1203;6;6;0;0
341199;0;74;1201;8;8;0;0
341200;0;43;734;6;6;0;0
341202;0;91;1472;6;6;1;1
341203;0;29;383;6;6;1;1
341205;0;145;2092;5;5;1;1
341207;0;96;1566;7;7;0;0
341214;0;86;1383;7;7;1;1
341220;0;47;786;6;6;1;1
341221;0;40;661;8;8;1;1
341223;0;146;2105;8;8;1;1
341228;0;143;2076;8;8;1;1
341229;0;142;2057;6;6;0;0
341233;0;150;2171;8;8;1;1
341235;0;83;1312;8;8;1;1
341236;0;33;514;10;10;0;0
341238;0;75;1224;5;5;1;1
341239;0;29;392;9;9;1;1
341247;0;146;2108;9;9;0;0
341248;0;30;415;6;6;1;1
341250;0;149;2165;9;9;0;0
341252;0;70;1112;10;10;1;1
341253;0;84;1337;9;9;0;0
341255;0;48;819;10;10;1;1
341256;0;66;1038;9;9;1;1
341263;0;66;1026;10;10;0;0
341265;0;70;1125;10;10;1;1
341291;0;88;1398;10;10;1;1
341298;0;85;1345;9;9;0;0
341309;0;95;1552;5;5;0;0
341317;0;67;1052;5;5;1;1
341322;0;39;638;6;6;1;1
341350;0;133;1950;6;6;0;0
341351;0;119;1814;6;6;0;0
341354;0;87;1387;6;6;0;0
341363;0;85;1362;6;6;0;0
341369;0;74;1203;6;6;0;0
341372;0;76;1242;7;7;1;1
341375;0;92;1488;7;7;0;0
341385;0;94;1525;8;8;0;0
341387;0;117;1782;8;8;1;1
341391;0;66;1027;8;8;1;1
341396;0;93;1516;9;9;1;1
341398;0;70;1112;10;10;1;1
341399;0;84;1329;5;5;0;0
341400;0;90;1455;10;10;1;1
341401;0;94;1540;9;9;0;0
341405;1;2;30;6;6;0;0
341406;0;87;1386;5;5;0;0
341415;0;110;1699;5;5;1;1
341441;0;43;708;7;7;0;0
341444;0;87;1395;8;8;1;1
341476;0;118;1800;7;7;0;0
341479;0;92;1493;6;6;0;0
341521;0;32;482;7;7;1;1
341528;0;68;1087;6;6;0;0
341530;0;119;1802;7;7;1;1
341531;0;89;1441;10;10;0;0
341545;0;76;1247;6;6;1;1
341560;0;87;1390;6;6;1;1
341561;1;48;805;5;5;0;0
341569;0;148;2135;9;9;0;0
341573;0;95;1545;9;9;1;1
341581;0;83;1326;6;6;1;1
341589;0;34;542;7;7;1;1
341591;0;85;1344;8;8;1;1
341599;1;107;1673;6;6;1;1
341600;0;104;1641;6;6;0;0
341602;0;82;1296;9;9;0;0
341605;0;95;1552;5;5;0;0
341611;0;104;1636;5;5;0;0
341616;0;108;1683;8;8;0;0
341617;0;149;2154;6;6;0;0
341618;0;41;674;7;7;1;1
341624;0;43;741;6;6;1;1
341630;0;40;656;7;7;1;1
341632;1;112;1720;9;9;0;0
341633;0;142;2057;6;6;0;0
341651;0;43;706;6;6;1;1
341660;0;72;1168;8;8;0;0
341668;0;84;1331;8;8;0;0
341671;0;112;1721;9;9;0;0
341676;0;84;1328;6;6;1;1
341677;0;30;425;7;7;1;1
341681;0;43;712;6;6;0;0
341685;0;66;1034;7;7;1;1
341689;0;75;1222;9;9;1;1
341710;0;63;983;6;6;0;0
341747;0;141;2048;6;6;0;0
341758;0;30;409;6;6;0;0
341802;0;94;1529;8;8;0;0
341818;0;93;1516;9;9;1;1
341824;0;141;2030;8;8;0;0
341826;0;139;2009;9;9;0;0
341845;0;71;1131;9;9;0;0
341860;0;35;563;7;7;0;0
341896;0;65;1017;7;7;0;0
341928;0;134;1962;6;6;0;0
341940;0;86;1366;5;5;0;0
341950;0;86;1380;7;7;0;0
341957;0;95;1554;5;5;0;0
341958;1;70;1118;6;6;0;0
341962;0;92;1501;5;5;0;0
341968;0;136;1980;6;6;0;0
341988;0;25;328;9;9;0;0
341992;0;140;2016;9;9;0;0
341996;0;84;1342;6;6;0;0
342000;0;71;1141;9;9;0;0
342024;0;25;331;6;6;0;0
342028;0;86;1379;5;5;0;0
342029;0;82;1294;9;9;0;0
342034;0;41;677;9;9;1;1
342059;0;111;1714;6;6;1;1
342062;0;88;1407;10;10;1;1
342096;0;95;1547;7;7;0;0
342100;0;137;1990;12;12;0;0
342105;0;67;1069;6;6;1;1
342107;0;66;1037;6;6;1;1
342111;0;149;2151;9;9;1;1
342113;0;134;1958;9;9;1;1
342118;0;40;669;6;6;1;1
342120;0;74;1202;7;7;1;1
342123;0;136;1980;6;6;0;0
342126;0;135;1963;9;9;0;0
342128;0;108;1681;9;9;0;0
342129;0;135;1964;6;6;1;1
342130;0;94;1527;6;6;1;1
342133;0;136;1980;6;6;0;0
342136;0;103;1617;6;6;0;0
342138;0;135;1964;6;6;1;1
342189;0;65;1005;7;7;1;1
342193;0;74;1203;6;6;0;0
342203;0;25;327;6;6;1;1
342204;0;119;1808;9;9;1;1
342208;0;38;626;8;8;1;1
342213;0;90;1455;10;10;1;1
342238;0;107;1672;9;9;0;0
342246;0;94;1535;7;7;1;1
342247;0;94;1540;9;9;0;0
342255;0;96;1559;8;8;0;0
342267;0;93;1507;6;6;0;0
342287;0;145;2098;6;6;0;0
342299;0;30;420;6;6;1;1
342311;0;148;2132;7;7;0;0
342315;1;119;1803;6;6;0;0
342321;0;136;1977;6;6;1;1
342324;0;119;1801;7;7;0;0
342331;0;28;368;7;7;1;1
342339;0;40;650;10;10;0;0
342345;0;40;657;9;9;1;1
342346;0;74;1212;6;6;1;1
342350;0;38;611;6;6;0;0
342386;0;76;1229;9;9;1;1
342391;0;29;385;8;8;1;1
342396;1;133;1949;6;6;1;1
342406;0;142;2068;12;12;1;1
342412;0;29;401;7;7;1;1
342415;0;37;597;7;7;1;1
342420;0;139;2010;7;7;0;0
342434;0;32;458;7;7;1;1
342452;0;119;1803;6;6;0;0
342454;0;119;1814;6;6;0;0
342455;0;141;2028;6;6;0;0
342460;0;87;1389;6;6;0;0
342492;0;32;485;6;6;0;0
342497;0;32;456;6;6;0;0
342498;0;22;289;6;6;0;0
342505;0;35;561;6;6;1;1
342514;0;104;1641;6;6;0;0
342542;0;47;789;9;9;1;1
342544;0;44;747;7;7;0;0
342546;0;97;1577;6;6;1;1
342597;0;145;2103;6;6;1;1
342598;0;93;1512;8;8;0;0
342604;1;143;2083;8;8;0;0
342612;1;118;1795;6;6;0;0
342615;0;118;1795;6;6;0;0
342618;0;25;325;5;5;1;1
342625;1;93;1524;6;6;1;1
342629;0;145;2101;7;7;1;1
342684;0;38;607;6;6;0;0
342691;0;76;1227;5;5;0;0
342695;0;28;363;6;6;0;0
342701;0;2;27;6;6;1;1
342703;0;141;2028;6;6;0;0
342708;0;141;2034;7;7;0;0
342720;0;145;2100;9;9;1;1
342733;0;39;642;5;5;0;0
342747;0;146;2109;5;5;1;1
342752;0;69;1099;5;5;0;0
342819;0;46;772;6;6;0;0
342828;0;69;1093;6;6;1;1
342832;0;143;2079;6;6;1;1
342852;0;70;1109;6;6;0;0
342859;0;82;1295;6;6;1;1
342860;0;104;1635;9;9;1;1
342875;0;33;526;10;10;0;0
342908;1;141;2026;7;7;0;0
342945;1;5;90;7;7;1;1
342948;1;71;1148;6;6;1;1
342973;0;133;1947;6;6;1;1
343081;1;66;1032;10;10;0;0
343101;0;95;1548;6;6;1;1
343104;0;65;1005;7;7;1;1
343116;0;41;676;6;6;1;1
343117;0;31;432;10;10;0;0
343125;0;43;723;7;7;1;1
343126;0;67;1055;6;6;1;1
343133;0;145;2100;9;9;1;1
343134;0;29;385;8;8;1;1
343135;0;5;88;5;5;0;0
343147;0;82;1310;7;7;0;0
343161;1;96;1566;7;7;0;0
343177;0;141;2052;7;7;0;0
343258;0;72;1176;6;6;1;1
343259;0;74;1212;6;6;1;1
