ID_ALUNO;ID_SALA_ALOCADA;ID_ESCOLA;ETAPA_DESEJADA;ETAPA_OFERECIDA;DISTANCIA_KM;CUSTO_TOTAL
22406;487;25;10;10;14611.30;14.61
22407;508;426;13;13;3927.34;3.93
22408;404;331;7;7;2868.51;2.87
22409;700;241;3;3;9339.67;9.34
22410;-1;NA;7;NA;0.00;100.00
22411;115;94;1;1;7971.30;7.97
22412;75;338;9;9;14505.91;14.51
22413;457;384;3;3;5999.33;6.00
22414;22;127;6;6;3237.24;3.24
22415;75;338;9;9;1875.58;1.88
22416;246;328;3;3;5325.17;5.33
22417;927;381;12;12;1178.54;1.18
22418;972;495;12;12;5634.52;5.63
22419;743;303;6;6;8558.89;8.56
22420;634;324;3;3;8413.29;8.41
22421;966;57;1;1;8340.32;8.34
22422;180;188;4;4;4772.42;4.77
22423;948;189;7;7;6392.28;6.39
22424;849;35;13;13;9582.94;9.58
22425;654;203;1;1;4462.19;4.46
22426;906;22;9;9;10822.37;10.82
22427;655;168;9;9;14997.94;15.00
22428;697;249;2;2;6792.61;6.79
22429;253;198;12;12;4909.13;4.91
22430;674;126;8;8;12674.19;12.67
22431;776;322;12;12;5361.32;5.36
22432;195;390;11;11;4431.17;4.43
22433;569;317;9;9;13231.52;13.23
22434;878;238;8;8;8021.20;8.02
22435;960;25;7;7;9929.76;9.93
22436;663;64;5;5;3970.50;3.97
22437;695;154;10;10;2423.31;2.42
22438;183;365;1;1;117.32;0.12
22439;587;34;5;5;1442.82;1.44
22440;492;494;4;4;6933.99;6.93
22441;867;81;2;2;4055.18;4.06
22442;913;404;1;1;7882.92;7.88
22443;484;155;3;3;7561.47;7.56
22444;673;470;9;9;4687.63;4.69
22445;635;340;8;8;8569.08;8.57
22446;7;424;8;8;10507.18;10.51
22447;734;409;2;2;5391.88;5.39
22448;891;185;13;13;7008.47;7.01
22449;350;68;8;8;18716.59;18.72
22450;529;199;1;1;17467.50;17.47
22451;-1;NA;10;NA;0.00;100.00
22452;414;81;9;9;19070.77;19.07
22453;401;488;10;10;6636.57;6.64
22454;69;481;9;9;10453.02;10.45
22455;922;35;3;3;2816.82;2.82
22456;414;81;9;9;16458.81;16.46
22457;253;198;12;12;11941.78;11.94
22458;684;397;11;11;5674.97;5.67
22459;628;189;9;9;15108.13;15.11
22460;99;80;1;1;14381.43;14.38
22461;109;56;5;5;6699.36;6.70
22462;87;443;3;3;7794.11;7.79
22463;424;379;7;7;9455.11;9.46
22464;173;196;11;11;13465.20;13.47
22465;919;231;13;13;1662.84;1.66
22466;196;136;10;10;4959.38;4.96
22467;457;384;3;3;4925.67;4.93
22468;902;240;4;4;15874.97;15.87
22469;622;460;4;4;6522.37;6.52
22470;254;206;1;1;6801.12;6.80
22471;524;402;1;1;6264.84;6.26
22472;687;168;9;9;6137.86;6.14
22473;404;331;7;7;12777.79;12.78
22474;-1;NA;3;NA;0.00;100.00
22475;228;260;7;7;2016.80;2.02
22476;588;387;7;7;5018.23;5.02
22477;532;139;8;8;6891.92;6.89
22478;616;436;5;5;4176.97;4.18
22479;519;98;8;8;8276.48;8.28
22480;595;307;4;4;12215.01;12.22
22481;710;276;12;12;3563.25;3.56
22482;204;114;12;12;2704.66;2.70
22483;329;110;7;7;8580.32;8.58
22484;617;187;8;8;9113.33;9.11
22485;366;258;1;1;17101.06;17.10
22486;130;195;2;2;10644.55;10.64
22487;434;217;13;13;8558.16;8.56
22488;625;243;8;8;13076.19;13.08
22489;750;303;2;2;6475.87;6.48
22490;445;461;3;3;5134.32;5.13
22491;40;101;8;8;17585.37;17.59
22492;162;84;1;1;16870.80;16.87
22493;550;119;10;10;2886.14;2.89
22494;936;391;1;1;3140.65;3.14
22495;781;398;7;7;3606.11;3.61
22496;400;70;5;5;15148.88;15.15
22497;625;243;8;8;8650.30;8.65
22498;822;49;4;4;8609.13;8.61
22499;283;272;4;4;10477.95;10.48
22500;964;266;10;10;6680.11;6.68
22501;778;109;2;2;7845.03;7.85
22502;38;443;2;2;9061.62;9.06
22503;225;401;4;4;7823.95;7.82
22504;461;364;11;11;7526.40;7.53
22505;235;204;10;10;17578.59;17.58
22506;972;495;12;12;7656.15;7.66
22507;915;199;5;5;10609.72;10.61
22508;41;183;2;2;12408.85;12.41
22509;204;114;12;12;11737.82;11.74
22510;764;251;1;1;17447.66;17.45
22511;-1;NA;7;NA;0.00;100.00
22512;770;239;1;1;8526.48;8.53
22513;298;156;10;10;5383.87;5.38
22514;854;457;5;5;14753.17;14.75
22515;661;117;13;13;15631.02;15.63
22516;814;306;9;9;9398.99;9.40
22517;806;488;6;6;7412.99;7.41
22518;-1;NA;10;NA;0.00;100.00
22519;397;184;11;11;2927.55;2.93
22520;707;151;5;5;355.44;0.36
22521;547;435;9;9;17797.62;17.80
22522;438;211;10;10;4646.40;4.65
22523;447;300;6;6;6739.92;6.74
22524;961;245;5;5;9136.80;9.14
22525;556;238;1;1;7541.23;7.54
22526;432;498;5;5;8870.09;8.87
22527;655;168;9;9;4492.48;4.49
22528;516;1;9;9;2788.47;2.79
22529;681;362;12;12;4347.16;4.35
22530;597;191;4;4;10738.54;10.74
22531;672;331;8;8;4397.63;4.40
22532;481;229;5;5;6998.52;7.00
22533;277;64;8;8;5415.65;5.42
22534;894;10;3;3;9187.91;9.19
22535;452;25;4;4;4712.73;4.71
22536;321;474;8;8;5633.54;5.63
22537;606;477;1;1;5413.37;5.41
22538;871;297;10;10;18329.07;18.33
22539;787;77;8;8;1385.47;1.39
22540;-1;NA;4;NA;0.00;100.00
22541;600;338;10;10;2660.65;2.66
22542;966;57;1;1;7409.57;7.41
22543;347;361;8;8;6004.41;6.00
22544;926;19;4;4;12106.49;12.11
22545;821;356;12;12;862.48;0.86
22546;742;388;7;7;8640.31;8.64
22547;22;127;6;6;7486.76;7.49
22548;-1;NA;7;NA;0.00;100.00
22549;563;392;3;3;14938.15;14.94
22550;118;417;9;9;6750.61;6.75
22551;913;404;1;1;9082.63;9.08
22552;494;106;12;12;7814.51;7.81
22553;327;173;1;1;3706.55;3.71
22554;848;245;10;10;10193.95;10.19
22555;569;317;9;9;8104.31;8.10
22556;-1;NA;1;NA;0.00;100.00
22557;644;156;7;7;4838.17;4.84
22558;367;338;9;9;6975.67;6.98
22559;678;421;5;5;10810.81;10.81
22560;524;402;1;1;5789.13;5.79
22561;124;89;3;3;3852.59;3.85
22562;48;221;6;6;5707.95;5.71
22563;161;211;13;13;5147.19;5.15
22564;902;240;4;4;18641.83;18.64
22565;962;85;3;3;11317.39;11.32
22566;918;77;3;3;7415.27;7.42
22567;255;42;4;4;3002.38;3.00
22568;949;190;7;7;2847.86;2.85
22569;777;247;9;9;15582.97;15.58
22570;-1;NA;2;NA;0.00;100.00
22571;856;136;10;10;13803.40;13.80
22572;156;253;1;1;17901.57;17.90
22573;704;340;3;3;14816.74;14.82
22574;659;307;7;7;8748.04;8.75
22575;506;22;1;1;8080.37;8.08
22576;948;189;7;7;12727.31;12.73
22577;829;168;2;2;4635.18;4.64
22578;548;185;11;11;1718.57;1.72
22579;450;177;13;13;1804.66;1.80
22580;411;98;6;6;13351.78;13.35
22581;323;489;5;5;17287.58;17.29
22582;595;307;4;4;10039.70;10.04
22583;415;340;7;7;12222.41;12.22
22584;-1;NA;11;NA;0.00;100.00
22585;2;71;12;12;9217.37;9.22
22586;880;469;11;11;2425.41;2.43
22587;200;259;7;7;10954.65;10.95
22588;125;378;3;3;7537.90;7.54
22589;884;165;10;10;6206.14;6.21
22590;797;462;12;12;11768.98;11.77
22591;933;382;1;1;9916.54;9.92
22592;85;482;8;8;12111.98;12.11
22593;661;117;13;13;11849.05;11.85
22594;669;113;7;7;7322.80;7.32
22595;49;157;12;12;3262.13;3.26
22596;-1;NA;6;NA;0.00;100.00
22597;645;491;11;11;10982.87;10.98
22598;385;477;1;1;7855.70;7.86
22599;864;63;5;5;4055.93;4.06
22600;942;474;1;1;5864.74;5.86
22601;844;71;4;4;7894.01;7.89
22602;846;403;9;9;6519.29;6.52
22603;613;79;11;11;6271.54;6.27
22604;236;110;3;3;5118.72;5.12
22605;615;431;12;12;14444.76;14.44
22606;93;143;10;10;11136.84;11.14
22607;899;218;6;6;8323.14;8.32
22608;907;19;11;11;3969.05;3.97
22609;833;48;10;10;6341.82;6.34
22610;563;392;3;3;11982.27;11.98
22611;514;291;2;2;5615.96;5.62
22612;427;166;1;1;10440.39;10.44
22613;613;79;11;11;3022.58;3.02
22614;218;246;13;13;14371.96;14.37
22615;923;196;3;3;18129.17;18.13
22616;92;231;13;13;17272.93;17.27
22617;695;154;10;10;2555.38;2.56
22618;226;453;2;2;18278.34;18.28
22619;316;452;6;6;3532.05;3.53
22620;643;311;13;13;5989.63;5.99
22621;921;192;13;13;16012.41;16.01
22622;309;391;12;12;13419.96;13.42
22623;898;301;13;13;8857.47;8.86
22624;143;388;9;9;9322.24;9.32
22625;38;443;2;2;1658.09;1.66
22626;-1;NA;9;NA;0.00;100.00
22627;713;492;9;9;2720.90;2.72
22628;108;257;4;4;2259.33;2.26
22629;748;262;4;4;14721.57;14.72
22630;245;151;9;9;4345.49;4.35
22631;74;452;9;9;10240.64;10.24
22632;153;371;13;13;13860.78;13.86
22633;246;328;3;3;12581.67;12.58
22634;957;400;7;7;11772.35;11.77
22635;356;460;6;6;4655.20;4.66
22636;336;178;12;12;20349.14;20.35
22637;-1;NA;8;NA;0.00;100.00
22638;659;307;7;7;6372.77;6.37
22639;884;165;10;10;4188.81;4.19
22640;575;241;5;5;4459.06;4.46
22641;752;412;11;11;14059.29;14.06
22642;567;495;11;11;5199.34;5.20
22643;297;306;13;13;5960.10;5.96
22644;594;418;6;6;5600.79;5.60
22645;969;458;13;13;11932.01;11.93
22646;729;85;6;6;203.76;0.20
22647;337;245;10;10;5760.73;5.76
22648;531;184;6;6;5781.32;5.78
22649;495;197;6;6;14857.03;14.86
22650;627;246;6;6;5682.54;5.68
22651;926;19;4;4;7317.47;7.32
22652;108;257;4;4;3501.39;3.50
22653;302;455;12;12;10639.49;10.64
22654;449;104;6;6;2905.59;2.91
22655;708;118;9;9;8529.93;8.53
22656;612;494;9;9;15124.52;15.12
22657;762;485;9;9;3936.79;3.94
22658;794;235;7;7;9196.45;9.20
22659;85;482;8;8;5622.53;5.62
22660;758;245;5;5;15773.65;15.77
22661;973;379;3;3;6177.80;6.18
22662;320;246;6;6;4590.68;4.59
22663;65;84;3;3;6880.06;6.88
22664;713;492;9;9;15415.93;15.42
22665;887;348;5;5;466.47;0.47
22666;635;340;8;8;14607.43;14.61
22667;814;306;9;9;7200.24;7.20
22668;573;81;11;11;7790.55;7.79
22669;95;424;6;6;8670.98;8.67
22670;258;203;6;6;10609.64;10.61
22671;252;89;1;1;6898.45;6.90
22672;507;229;10;10;4312.17;4.31
22673;689;436;4;4;9967.89;9.97
22674;182;32;2;2;12421.65;12.42
22675;690;438;1;1;5255.00;5.25
22676;952;410;4;4;1975.61;1.98
22677;789;222;10;10;6908.16;6.91
22678;342;370;10;10;5860.55;5.86
22679;704;340;3;3;10652.68;10.65
22680;-1;NA;4;NA;0.00;100.00
22681;191;261;1;1;7144.45;7.14
22682;334;203;12;12;3836.49;3.84
22683;171;484;13;13;11120.72;11.12
22684;853;200;9;9;20526.77;20.53
22685;770;239;1;1;18630.42;18.63
22686;769;237;8;8;6487.46;6.49
22687;-1;NA;2;NA;0.00;100.00
22688;719;324;11;11;14936.08;14.94
22689;162;84;1;1;12332.06;12.33
22690;722;136;11;11;7734.40;7.73
22691;583;5;9;9;11132.85;11.13
22692;9;399;8;8;3474.50;3.47
22693;819;269;11;11;3859.61;3.86
22694;936;391;1;1;13431.91;13.43
22695;666;261;13;13;9426.42;9.43
22696;327;173;1;1;4419.46;4.42
22697;338;225;7;7;10640.02;10.64
